,text,Created at,target,Likes,Retweets,lang,geo,Hashtags
0,RT @SEC_cl: ⚠️Si eres una o uno de los afectados por el #CortedeLuz en #Recoleta haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp,2022-07-03 6:39:34,1,0,1,es,,"['CortedeLuz', 'Recoleta']"
1,#OtraVez!!! #CorteDeLuz #HastaCuando ya está reportado el problema a los amigos de @EnelClientesCL pero se necesita una #SoluciónDefinitiva con tantos #CambiosDeVoltaje temo a que se echen a perder los #ArtefactosEléctricos.,2022-07-03 4:25:11,1,0,0,es,Santiago de Chile,"['OtraVez', 'CorteDeLuz', 'HastaCuando', 'SoluciónDefinitiva', 'CambiosDeVoltaje', 'ArtefactosEléctricos']"
2,"@CGE_Clientes qué pasa en Puente Alto qué sé corta la luz día por medio sector villa Andes del sur 
#CorteDeEnergia #CorteDeLuz https://t.co/W8beKEod4v",2022-07-02 23:06:08,1,0,0,es,Chile,"['CorteDeEnergia', 'CorteDeLuz']"
3,@saesa nuevamente #CorteDeLuz en sector Linguento #mariquina. Más de 36 horas sin suministro en la semana! @SEC_cl hace falta fiscalización.,2022-07-02 17:52:36,1,0,0,es,,"['CorteDeLuz', 'mariquina']"
4,"Atención: Edemsa cortará la luz en un departamento de Mendoza

@Edemsa #CorteDeLuz #Mendoza
https://t.co/XWRqXzW4xm https://t.co/QlowG5rlya",2022-07-02 11:25:57,1,0,0,es,Mendoza,"['CorteDeLuz', 'Mendoza']"
5,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-02 10:26:53,1,0,13,es,"Quilmes,  Bs. As.  Argentina",[]
6,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-02 5:04:15,1,0,13,es,"Buenos Aires, Argentina",[]
7,@OficialEdesur y @CascallaresPJ todos los días #CorteDeLuz en #Adrogué quien se hace responsable?,2022-07-02 4:50:20,1,2,0,es,Argentina,"['CorteDeLuz', 'Adrogué']"
8,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-02 3:49:13,1,0,13,es,Ciudad Autónoma de Buenos Aire,[]
9,#CorteDeLuz en #vitacura #choque @adnradiochile https://t.co/yGGtwFST2V,2022-07-02 2:21:55,1,0,0,und,chile,"['CorteDeLuz', 'vitacura', 'choque']"
10,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-02 2:15:26,1,0,13,es,,[]
11,@EnelClientesCL Ya lo he hecho durante estás 12 horas con el resultado de seguir con #CorteDeEnergia #CorteDeLuz,2022-07-02 1:47:36,1,0,0,es,"Pte Riesco 3237 D, Las Condes","['CorteDeEnergia', 'CorteDeLuz']"
12,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-02 1:07:39,1,0,13,es,"Ciudad Autónoma de Buenos Aires, Argentina",[]
